empleado_id,salario_o_ibc,mensajeria,vlr_mensajeria,vlr_administracion,estado,valor_pila,valor_total
1,1160000,N,0,47000,Activo,58700,105700
2,1160000,N,0,47000,Activo,105100,152100
3,1160000,N,0,47000,Activo,98900,145900
4,1160000,N,0,47000,Activo,39500,86500
5,1160000,N,0,47000,Activo,96900,143900
6,1160000,N,0,47000,Activo,95700,142700
7,1160000,N,0,47000,Activo,80900,127900
8,1160000,N,0,47000,Activo,98900,145900
9,1160000,N,0,47000,Activo,284500,331500
10,1160000,N,0,47000,Activo,98900,145900
11,1160000,N,0,47000,Activo,58700,105700
12,1160000,N,0,47000,Activo,105100,152100
13,1160000,N,0,0,Activo,52900,52900
14,1160000,N,0,47000,Activo,98900,145900
15,1160000,N,0,37000,Activo,52500,89500
16,1160000,N,0,37000,Activo,52500,89500
17,1160000,N,0,47000,Activo,58700,105700
18,1160000,N,0,47000,Activo,58700,105700
19,1160000,N,0,47000,Activo,105100,152100
20,1160000,N,0,47000,Activo,238100,285100
21,1160000,N,0,47000,Activo,105100,152100
22,1160000,N,0,47000,Activo,127300,174300
23,1160000,N,0,47000,Activo,58700,105700
24,1160000,N,0,47000,Activo,284500,331500
25,1160000,N,0,47000,Activo,52500,99500
26,1160000,N,0,37000,Activo,52500,89500
27,1160000,N,0,47000,Activo,58700,105700
28,1160000,N,0,47000,Activo,98900,145900
29,1160000,N,0,47000,Activo,58700,105700
30,1160000,N,0,47000,Activo,57000,104000
31,1160000,N,0,47000,Activo,52500,99500
32,1160000,N,0,47000,Activo,58700,105700
33,1160000,N,0,47000,Activo,52900,99900
34,1160000,N,0,37000,Activo,52500,89500
35,1160000,N,0,47000,Activo,284500,331500
36,1160000,N,0,53600,Activo,52900,106500
37,1160000,N,0,47000,Activo,52500,99500
38,1160000,N,0,47000,Activo,149500,196500
39,1160000,N,0,47000,Activo,105100,152100
40,1160000,N,0,47000,Activo,105100,152100
41,1160000,N,0,30900,Activo,244200,275100
42,1160000,N,0,37000,Activo,58700,95700
43,1160000,N,0,53600,Activo,52900,106500
44,1160000,N,0,47000,Activo,143300,190300
45,1160000,N,0,42000,Activo,284500,326500
46,1160000,N,0,47000,Activo,328900,375900
47,1160000,N,0,47000,Activo,58700,105700
48,1160000,N,0,47000,Activo,105100,152100
49,1160000,N,0,47000,Activo,284500,331500
50,1160000,N,0,47000,Activo,58700,105700
51,1160000,N,0,42000,Activo,284500,326500
52,1160000,N,0,47000,Activo,98900,145900
53,1160000,N,0,47000,Activo,328900,375900
54,1160000,N,0,47000,Activo,105100,152100
55,1160000,N,0,37000,Activo,52500,89500
56,1160000,N,0,47000,Activo,284500,331500
57,1160000,N,0,37000,Activo,58700,95700
58,1160000,N,0,47000,Activo,52500,99500
59,1160000,N,0,47000,Activo,284500,331500
60,1160000,N,0,47000,Activo,52500,99500
61,1160000,N,0,47000,Activo,57000,104000
62,1160000,N,0,47000,Activo,105100,152100
63,1160000,N,0,47000,Activo,30800,77800
64,1160000,N,0,47000,Activo,98900,145900
65,1160000,N,0,42000,Activo,284500,326500
66,1160000,N,0,47000,Activo,98900,145900
67,1160000,N,0,47000,Activo,98900,145900
68,1160000,N,0,47000,Activo,105100,152100
69,1160000,N,0,47000,Activo,284500,331500
70,1160000,N,0,47000,Activo,52500,99500
71,1160000,N,0,42000,Activo,284500,326500
72,1160000,N,0,42000,Activo,284500,326500
73,1160000,N,0,47000,Activo,52900,99900
